coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
351749,http://arctos.database.museum/media/10097819?open,http://arctos.database.museum/media/10097819?open,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097819_1542413707_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097819_1542413707_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA 70640: <i>Huperzia haleakalae</i> (Brack.) Holub",,urn:uuid:e8ae0325-7a83-480a-a17f-741e1984faf8,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=351749,StillImage,Photograph,en
351779,http://arctos.database.museum/media/10097818?open,http://arctos.database.museum/media/10097818?open,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097818_1542438865_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097818_1542438865_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA 07658: <i>Huperzia haleakalae</i> (Brack.) Holub",,urn:uuid:bd93067c-9c65-4e4c-b408-019da7277cee,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=351779,StillImage,Photograph,en
353879,http://arctos.database.museum/media/10099173?open,http://arctos.database.museum/media/10099173?open,http://www.pteridoportal.org/imglib/fern/ALA/00237/10099173_1542411176_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00237/10099173_1542411176_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA 140026: <i>Huperzia haleakalae</i> (Brack.) Holub",,urn:uuid:1ee53115-1615-45e5-b15b-14bbbd70caff,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=353879,StillImage,Photograph,en
354515,http://arctos.database.museum/media/10099171?open,http://arctos.database.museum/media/10099171?open,http://www.pteridoportal.org/imglib/fern/ALA/00237/10099171_1542416989_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00237/10099171_1542416989_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA 139945: <i>Huperzia haleakalae</i> (Brack.) Holub",,urn:uuid:645df0b4-a502-491e-8987-542516f7f909,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=354515,StillImage,Photograph,en
351785,http://arctos.database.museum/media/10097815?open,http://arctos.database.museum/media/10097815?open,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097815_1542444304_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097815_1542444304_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA 141051: <i>Huperzia haleakalae</i> (Brack.) Holub",,urn:uuid:91c21f36-8686-429e-87b1-6033acd98583,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=351785,StillImage,Photograph,en
350592,http://arctos.database.museum/media/10097814?open,http://arctos.database.museum/media/10097814?open,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097814_1542414323_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097814_1542414323_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA 137105: <i>Huperzia haleakalae</i> (Brack.) Holub",,urn:uuid:961f62a7-d686-4b6b-8ab3-c243850939fd,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=350592,StillImage,Photograph,en
354458,http://arctos.database.museum/media/10097813?open,http://arctos.database.museum/media/10097813?open,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097813_1542415888_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097813_1542415888_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA 143735: <i>Huperzia haleakalae</i> (Brack.) Holub",,urn:uuid:13f5807c-467f-45dc-a4e7-12b80b80bca9,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=354458,StillImage,Photograph,en
351733,http://arctos.database.museum/media/10097812?open,http://arctos.database.museum/media/10097812?open,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097812_1542402409_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097812_1542402409_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA 143614: <i>Huperzia haleakalae</i> (Brack.) Holub",,urn:uuid:65630741-8540-42f3-b9db-df12e611f734,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=351733,StillImage,Photograph,en
351741,http://arctos.database.museum/media/10097811?open,http://arctos.database.museum/media/10097811?open,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097811_1542414541_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097811_1542414541_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA 143615: <i>Huperzia haleakalae</i> (Brack.) Holub",,urn:uuid:977f83cc-8db2-42e5-b51e-09149a86aff0,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=351741,StillImage,Photograph,en
351796,http://arctos.database.museum/media/10097810?open,http://arctos.database.museum/media/10097810?open,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097810_1542403472_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00237/10097810_1542403472_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA 143613: <i>Huperzia haleakalae</i> (Brack.) Holub",,urn:uuid:2e4db9ec-d6da-46b7-a336-fa0aea10a575,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=351796,StillImage,Photograph,en
