id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
28331,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,a25fed99-cefd-48b0-84ea-e1630a57f5e3,C0640999F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,Oaxaca,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:43:25",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:f80b4a47-acff-4705-9ea7-feb166ec9de7,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=28331
28383,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,f9007e5d-cbf7-4e34-b8c3-cbc2ee9288dd,C0661780F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,"S. Calderón",1227,1922-00-00,1922,0,0,,,1922,,,,,,,,,,,,,,"EL SALVADOR",,,,,,,,,,,,,,,,,,,,,,,en,,"2018-06-19 12:19:41",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:8ad2fd77-d0d4-4988-9b42-3fdb35797dc5,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=28383
33363,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,89c3dc26-44e7-4924-b64c-4c65941890f2,C0640993F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Costa Rica",Guanacaste,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:43:23",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:492de4c4-49a1-4f49-bee1-15e2b8c4010e,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=33363
34203,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,63b08df1-6146-4f6b-ac63-af15b5cdd1b9,C0640985F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,Chiapas,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:43:21",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:31581772-9bdd-41a6-ba84-2ff4eb43e550,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=34203
34614,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,ea98d867-0954-4b57-bcec-f172bcfe1ec5,C0640991F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicaragua,Chinandega,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:43:23",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:8ba490ff-8ede-4ef2-97cb-7661d9a16fe6,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=34614
34944,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,50fa6122-8adb-455c-84e8-85f266d9ab81,C0640995F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Costa Rica",Puntarenas,,,,,,,,,,,,,,,,,,,,,,en,,"2019-01-14 13:22:21",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:c6b45754-dd23-4129-8055-56486d26f15d,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=34944
37824,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,9f4bc520-f528-4038-8ce6-552e6908edcd,C0661781F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,"A. Molina R.",21935,1968-08-21,1968,8,21,234,,1968-8-21,,,,,,,,,,,,,,HONDURAS,,,,,,,,,,,,,,,,,,,,,,,en,,"2018-06-19 12:19:42",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:fac52b63-978e-432f-9a76-199b98f1ea17,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=37824
42075,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,2742c85f-d218-4e4f-8ac8-2fefd2aba128,C0640986F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,Veracruz,,,,,,,,,,,,,,,,,,,,,,en,,"2019-01-10 11:56:19",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:72e5f826-6fec-4ef9-9629-fb0273364dd7,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=42075
44162,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,1db73a14-f340-4ff4-998e-3ebbd850bbb1,C0640997F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Costa Rica",Puntarenas,Puntarenas,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:43:24",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:17032190-3c4f-429a-81b8-b24d88ae5df3,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=44162
46069,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,bbbe52b4-d695-44bf-97f3-db7816b78cf6,C0640990F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,Meta,,,,,,,,,,,,,,,,,,,,,,en,,"2019-01-14 13:20:01",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:65a4960e-552e-4ae0-978e-6eeeb6743873,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=46069
