coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
29901,http://fm-digital-assets.fieldmuseum.org/1081/768/C0639387F.jpg,http://fm-digital-assets.fieldmuseum.org/1081/768/C0639387F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639387F_1537851693_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639387F_1537851693_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:77a3a735-5460-41f3-930d-4c7a2ed7db16,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=29901,StillImage,Photograph,en
37584,http://fm-digital-assets.fieldmuseum.org/1081/753/C0639373F.jpg,http://fm-digital-assets.fieldmuseum.org/1081/753/C0639373F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639373F_1537644942_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639373F_1537644942_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:e56f09c8-8059-42d8-87bb-b74aa3d2b2e7,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=37584,StillImage,Photograph,en
44842,http://fm-digital-assets.fieldmuseum.org/1081/774/C0639393F.jpg,http://fm-digital-assets.fieldmuseum.org/1081/774/C0639393F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639393F_1537828512_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639393F_1537828512_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:5fa24c88-dd46-4591-9452-d62cb245a9f2,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=44842,StillImage,Photograph,en
47085,http://fm-digital-assets.fieldmuseum.org/1081/764/C0639384F.jpg,http://fm-digital-assets.fieldmuseum.org/1081/764/C0639384F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639384F_1537832819_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639384F_1537832819_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:1fe7e8fb-be1e-4b73-af47-a5678392a875,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=47085,StillImage,Photograph,en
47131,http://fm-digital-assets.fieldmuseum.org/1081/770/C0639389F.jpg,http://fm-digital-assets.fieldmuseum.org/1081/770/C0639389F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639389F_1537949038_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639389F_1537949038_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:043f1fdb-791e-494e-80f1-8e558df341a5,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=47131,StillImage,Photograph,en
52110,http://fm-digital-assets.fieldmuseum.org/1081/772/C0639391F.jpg,http://fm-digital-assets.fieldmuseum.org/1081/772/C0639391F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639391F_1537866559_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639391F_1537866559_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:2a3ce4b2-2dd0-4496-a7ea-ae51a9839125,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=52110,StillImage,Photograph,en
53689,http://fm-digital-assets.fieldmuseum.org/1081/776/C0639395F.jpg,http://fm-digital-assets.fieldmuseum.org/1081/776/C0639395F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639395F_1537729569_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639395F_1537729569_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:51c770e2-bc27-4b99-b123-0b598e2c8e1c,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=53689,StillImage,Photograph,en
54729,http://fm-digital-assets.fieldmuseum.org/1081/759/C0639379F.jpg,http://fm-digital-assets.fieldmuseum.org/1081/759/C0639379F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639379F_1537917816_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639379F_1537917816_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:b2199027-cdd3-439d-9410-122edae70631,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=54729,StillImage,Photograph,en
70262,http://fm-digital-assets.fieldmuseum.org/1081/775/C0639394F.jpg,http://fm-digital-assets.fieldmuseum.org/1081/775/C0639394F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639394F_1537909240_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639394F_1537909240_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:c5c06446-7fef-49e6-a0ef-c4a76dd3a46d,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=70262,StillImage,Photograph,en
29003,http://fm-digital-assets.fieldmuseum.org/1060/697/C0656685F.jpg,http://fm-digital-assets.fieldmuseum.org/1060/697/C0656685F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0656685F_1537918342_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0656685F_1537918342_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:8decda14-2eeb-4dbd-b671-c20f43b4845e,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=29003,StillImage,Photograph,en
1040,http://fm-digital-assets.fieldmuseum.org/1083/308/C0641122F.jpg,http://fm-digital-assets.fieldmuseum.org/1083/308/C0641122F.jpg,http://www.pteridoportal.org/imglib/fern/F/C0641/C0641122F_1537515502_tn.jpg,http://www.pteridoportal.org/imglib/fern/F/C0641/C0641122F_1537515502_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:abeee9ab-92eb-4984-8019-345fff8b1e99,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1040,StillImage,Photograph,en
3013,http://fm-digital-assets.fieldmuseum.org/1060/878/C0656871F.jpg,http://fm-digital-assets.fieldmuseum.org/1060/878/C0656871F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0656871F_1537763362_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0656871F_1537763362_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:04f22d54-7616-4821-a048-6f7c7ba9687b,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=3013,StillImage,Photograph,en
4662,http://fm-digital-assets.fieldmuseum.org/1060/881/C0656874F.jpg,http://fm-digital-assets.fieldmuseum.org/1060/881/C0656874F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0656874F_1537910538_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0656874F_1537910538_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:8e55877a-993c-4823-920c-f0225bc86cfa,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=4662,StillImage,Photograph,en
14004,http://fm-digital-assets.fieldmuseum.org/1083/307/C0641121F.jpg,http://fm-digital-assets.fieldmuseum.org/1083/307/C0641121F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0641121F_1537951215_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0641121F_1537951215_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:a63eb4de-8b4b-49bd-a476-1af6eae3fe39,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=14004,StillImage,Photograph,en
