coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
32983,http://fm-digital-assets.fieldmuseum.org/1063/829/C0663985F.jpg,http://fm-digital-assets.fieldmuseum.org/1063/829/C0663985F.jpg,http://www.pteridoportal.org/imglib/fern/F/C0663/C0663985F_1537523327_tn.jpg,http://www.pteridoportal.org/imglib/fern/F/C0663/C0663985F_1537523327_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:29b77d50-4e6b-4f44-b4aa-e24731c08c9f,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=32983,StillImage,Photograph,en
48258,http://fm-digital-assets.fieldmuseum.org/1080/893/C0638517F.jpg,http://fm-digital-assets.fieldmuseum.org/1080/893/C0638517F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0638517F_1537921408_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0638517F_1537921408_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:8fe9c883-5422-4c4c-b01a-ffa42478e8f7,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=48258,StillImage,Photograph,en
55233,http://fm-digital-assets.fieldmuseum.org/1080/895/C0638519F.jpg,http://fm-digital-assets.fieldmuseum.org/1080/895/C0638519F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0638519F_1537837465_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0638519F_1537837465_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:a1048417-3fef-4587-a38c-7e9a5f884c8a,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=55233,StillImage,Photograph,en
63122,http://fm-digital-assets.fieldmuseum.org/1080/890/C0638514F.jpg,http://fm-digital-assets.fieldmuseum.org/1080/890/C0638514F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0638514F_1537729439_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0638514F_1537729439_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:205176d1-d82e-4bfe-afce-32f3dec58617,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=63122,StillImage,Photograph,en
69437,http://fm-digital-assets.fieldmuseum.org/971/559/_PTER_hupe_funi_125686.jpg,http://fm-digital-assets.fieldmuseum.org/971/559/_PTER_hupe_funi_125686.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/PTER_hupe_funi_125686_1537917395_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/PTER_hupe_funi_125686_1537917395_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:33a1c0b8-7a64-48b2-8dbe-f7fba2fe180e,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=69437,StillImage,Photograph,en
69690,http://fm-digital-assets.fieldmuseum.org/1063/832/C0663988F.jpg,http://fm-digital-assets.fieldmuseum.org/1063/832/C0663988F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663988F_1537913922_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663988F_1537913922_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:20333344-7292-4615-b711-39e0a15adf17,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=69690,StillImage,Photograph,en
4898,http://fm-digital-assets.fieldmuseum.org/1114/096/C0611433F.jpg,http://fm-digital-assets.fieldmuseum.org/1114/096/C0611433F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611433F_1537910637_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611433F_1537910637_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:106b9d3f-249e-46f0-8e8d-fc0b613dfa50,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=4898,StillImage,Photograph,en
9174,http://fm-digital-assets.fieldmuseum.org/1114/094/C0611432F.jpg,http://fm-digital-assets.fieldmuseum.org/1114/094/C0611432F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611432F_1537848996_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611432F_1537848996_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:57219c83-2c45-425d-bff8-c2e438e24048,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=9174,StillImage,Photograph,en
14463,http://fm-digital-assets.fieldmuseum.org/1114/090/C0611429F.jpg,http://fm-digital-assets.fieldmuseum.org/1114/090/C0611429F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611429F_1537909142_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611429F_1537909142_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:4c1315bc-de5e-4567-b604-7bbfb21ccd37,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=14463,StillImage,Photograph,en
41468,http://fm-digital-assets.fieldmuseum.org/1114/097/C0611434F.jpg,http://fm-digital-assets.fieldmuseum.org/1114/097/C0611434F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611434F_1537778304_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611434F_1537778304_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:6ae4bbaa-ebe6-40af-a6fb-c191f517e5b8,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=41468,StillImage,Photograph,en
41856,http://fm-digital-assets.fieldmuseum.org/1114/099/C0611435F.jpg,http://fm-digital-assets.fieldmuseum.org/1114/099/C0611435F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611435F_1537861748_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611435F_1537861748_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:e2953f29-fd7e-4f10-ac46-5271f7f5b292,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=41856,StillImage,Photograph,en
45648,http://fm-digital-assets.fieldmuseum.org/1114/092/C0611430F.jpg,http://fm-digital-assets.fieldmuseum.org/1114/092/C0611430F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611430F_1537721075_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611430F_1537721075_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:17288f0d-a190-4029-9317-711a9a1a2f3d,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=45648,StillImage,Photograph,en
45663,http://fm-digital-assets.fieldmuseum.org/1114/089/C0611428F.jpg,http://fm-digital-assets.fieldmuseum.org/1114/089/C0611428F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611428F_1537799051_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611428F_1537799051_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:3a1b0be8-0943-43fb-b367-627b0c217555,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=45663,StillImage,Photograph,en
52041,http://fm-digital-assets.fieldmuseum.org/1114/093/C0611431F.jpg,http://fm-digital-assets.fieldmuseum.org/1114/093/C0611431F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611431F_1537764072_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0611431F_1537764072_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:79056758-0071-4b0c-a8a2-685c4a7e8a2e,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=52041,StillImage,Photograph,en
2042,http://fm-digital-assets.fieldmuseum.org/1063/844/C0664000F.jpg,http://fm-digital-assets.fieldmuseum.org/1063/844/C0664000F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0664000F_1537925894_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0664000F_1537925894_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:9a23a5b1-ead9-43e8-9c99-116876906949,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=2042,StillImage,Photograph,en
