id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
15444,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,7e6e806b-dc6c-45d2-881f-5688b9f7f547,C0658384F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,Cundinamarca,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:54:01",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:fd8013b1-1e21-48c8-9471-bd402dc16fcf,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=15444
20245,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,a96c69a3-82d5-49bf-bb16-46b64e92ca70,C0658393F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,"Valle del Cauca",,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:54:05",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:ca5e26d7-4389-454b-bcca-5e075d7524a2,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=20245
22568,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,52adf788-6f9e-461f-a5f3-ea4c816eb309,C0658392F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,Cundinamarca,"Distrito Capital de Bogota",,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:54:04",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:55c47bfa-288d-4e82-a7ec-d7e9cb34439e,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=22568
22816,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,f91f5f48-5ada-450d-b7f3-e480c4aeef17,C0658420F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peru,Amazonas,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:54:14",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:bc3b5820-ba1e-44db-bcd8-9a2e9602f568,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=22816
25569,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,afd38a44-afeb-4562-8a35-09c4184d0a14,C0658385F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,"Norte de Santander",,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:54:02",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:65718c4e-5ca5-4752-9d94-95a4d1ad2d48,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=25569
28224,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,1f791aae-8435-4653-8f6f-5a0d38e1b4ff,C0658391F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,Caldas,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:54:04",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:80c002ba-5c09-4538-b161-6daf5f942b29,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=28224
35130,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,5f8a0d51-452b-49cc-944e-307d41ba5c4d,C0658400F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venezuela,"Distrito Federal",,,Caracas,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:54:07",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:48e44d72-0e27-4205-933b-636533ed4b4b,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=35130
35964,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,35b73f19-c57a-42fa-aeb6-6a5a10890f7a,C0658383F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,Cundinamarca,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:54:01",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:71d1e406-7e76-4a97-b68b-4679dcf66197,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=35964
37491,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,c3abb987-00b7-4bd3-8c0d-01ebe546b78b,C0658386F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,Cundinamarca,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:54:02",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:4845b957-58cb-4097-8b3e-2dc4e9a1c343,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=37491
38385,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,1d7aa451-fd3d-43a4-a143-ff6010112831,C0658390F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,"Valle del Cauca",,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:54:04",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:2924eeb4-ba8d-4b5a-a7da-6a8773d5c7d8,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=38385
40119,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,467e82fc-52e0-481b-bfd4-31a1d0857f17,C0658399F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venezuela,"Distrito Federal",,,Caracas,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:54:07",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:ef0b2b83-f996-4b74-aefe-c00090f91e0e,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=40119
